Array Size,Time(s)2,3.587126E-7
4,1.661985E-7
8,3.536929E-7
16,7.650857E-7
32,1.5536952000000002E-6
64,3.2425493E-6
128,6.7774915E-6
256,1.40953617E-5
512,3.02908502E-5
1024,6.50995182E-5
2048,1.451746102E-4
3721,2.828174247E-4
4096,3.066653386E-4
5472,4.0897542580000003E-4
6700,5.009457571E-4
8192,6.335741282E-4
10000,7.680956365000001E-4
16384,0.0012800265237000001
20000,0.0015664351076
32768,0.0026573571468
40000,0.0031715226274
50000,0.0040201642246
60000,0.004814431411000001
70000,0.0056190087673000004
80000,0.0064636234724
90000,0.0073364207751
100000,0.0083153363332
150000,0.0127217423076
17500,0.001339996367
200000,0.017196380543
250000,0.0224469848073
300000,0.026989143677
